25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0.05
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.45
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.45
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.45
100	120	0.5
25	28	0
28	31	0
31	34	0
34	37	0
37	40	0
40	43	0
43	46	0
46	51	0
51	56	0.05
56	61	0.05
61	66	0.1
66	71	0.2
71	76	0.2
76	84	0.3
84	92	0.35
92	100	0.5
100	120	0.5
