[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[46, 48]; [-1, -0.95]: 0 / 0
[46, 48]; [-0.95, -0.9]: 0 / 0
[46, 48]; [-0.9, -0.85]: 0 / 0
[46, 48]; [-0.85, -0.8]: 0 / 0
[46, 48]; [-0.8, -0.75]: 1762 / 5040
[46, 48]; [-0.75, -0.7]: 5237 / 15553
[46, 48]; [-0.7, -0.65]: 5804 / 16282
[46, 48]; [-0.65, -0.6]: 5895 / 16162
[46, 48]; [-0.6, -0.55]: 5870 / 15940
[46, 48]; [-0.55, -0.5]: 5945 / 15839
[46, 48]; [-0.5, -0.45]: 5967 / 15696
[46, 48]; [-0.45, -0.4]: 5903 / 15601
[46, 48]; [-0.4, -0.35]: 5892 / 15446
[46, 48]; [-0.35, -0.3]: 5797 / 15121
[46, 48]; [-0.3, -0.25]: 5866 / 15179
[46, 48]; [-0.25, -0.2]: 5880 / 15038
[46, 48]; [-0.2, -0.15]: 5811 / 15153
[46, 48]; [-0.15, -0.1]: 5782 / 14749
[46, 48]; [-0.1, -0.05]: 5635 / 14977
[46, 48]; [-0.05, 0]: 5871 / 14982
[46, 48]; [0, 0.05]: 5860 / 15173
[46, 48]; [0.05, 0.1]: 5689 / 14855
[46, 48]; [0.1, 0.15]: 5729 / 14887
[46, 48]; [0.15, 0.2]: 5795 / 15046
[46, 48]; [0.2, 0.25]: 5813 / 15148
[46, 48]; [0.25, 0.3]: 5973 / 15111
[46, 48]; [0.3, 0.35]: 5862 / 15293
[46, 48]; [0.35, 0.4]: 5920 / 15565
[46, 48]; [0.4, 0.45]: 5966 / 15480
[46, 48]; [0.45, 0.5]: 5913 / 15814
[46, 48]; [0.5, 0.55]: 5901 / 15933
[46, 48]; [0.55, 0.6]: 5961 / 16035
[46, 48]; [0.6, 0.65]: 5772 / 16138
[46, 48]; [0.65, 0.7]: 5758 / 16929
[46, 48]; [0.7, 0.75]: 5356 / 15733
[46, 48]; [0.75, 0.8]: 1779 / 5331
[46, 48]; [0.8, 0.85]: 0 / 0
[46, 48]; [0.85, 0.9]: 0 / 0
[46, 48]; [0.9, 0.95]: 0 / 0
[46, 48]; [0.95, 1]: 0 / 0

[48, 50]; [-1, -0.95]: 0 / 0
[48, 50]; [-0.95, -0.9]: 0 / 0
[48, 50]; [-0.9, -0.85]: 0 / 0
[48, 50]; [-0.85, -0.8]: 6 / 19
[48, 50]; [-0.8, -0.75]: 2166 / 6289
[48, 50]; [-0.75, -0.7]: 4796 / 13810
[48, 50]; [-0.7, -0.65]: 4640 / 13677
[48, 50]; [-0.65, -0.6]: 4661 / 13363
[48, 50]; [-0.6, -0.55]: 4792 / 13339
[48, 50]; [-0.55, -0.5]: 4730 / 13145
[48, 50]; [-0.5, -0.45]: 4661 / 12958
[48, 50]; [-0.45, -0.4]: 4624 / 12788
[48, 50]; [-0.4, -0.35]: 4763 / 12824
[48, 50]; [-0.35, -0.3]: 4718 / 12614
[48, 50]; [-0.3, -0.25]: 4747 / 12696
[48, 50]; [-0.25, -0.2]: 4576 / 12399
[48, 50]; [-0.2, -0.15]: 4714 / 12513
[48, 50]; [-0.15, -0.1]: 4686 / 12203
[48, 50]; [-0.1, -0.05]: 4627 / 12257
[48, 50]; [-0.05, 0]: 4565 / 12328
[48, 50]; [0, 0.05]: 4725 / 12276
[48, 50]; [0.05, 0.1]: 4735 / 12452
[48, 50]; [0.1, 0.15]: 4768 / 12312
[48, 50]; [0.15, 0.2]: 4630 / 12545
[48, 50]; [0.2, 0.25]: 4709 / 12500
[48, 50]; [0.25, 0.3]: 4653 / 12716
[48, 50]; [0.3, 0.35]: 4662 / 12497
[48, 50]; [0.35, 0.4]: 4740 / 12818
[48, 50]; [0.4, 0.45]: 4789 / 13010
[48, 50]; [0.45, 0.5]: 4763 / 12984
[48, 50]; [0.5, 0.55]: 4887 / 13082
[48, 50]; [0.55, 0.6]: 4767 / 13209
