[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[25, 26]; [-1, -0.95]: 0 / 0
[25, 26]; [-0.95, -0.9]: 0 / 0
[25, 26]; [-0.9, -0.85]: 0 / 0
[25, 26]; [-0.85, -0.8]: 0 / 0
[25, 26]; [-0.8, -0.75]: 0 / 0
[25, 26]; [-0.75, -0.7]: 0 / 0
[25, 26]; [-0.7, -0.65]: 0 / 0
[25, 26]; [-0.65, -0.6]: 3482 / 788
[25, 26]; [-0.6, -0.55]: 21821 / 4739
[25, 26]; [-0.55, -0.5]: 42694 / 9263
[25, 26]; [-0.5, -0.45]: 52337 / 11178
[25, 26]; [-0.45, -0.4]: 53636 / 11578
[25, 26]; [-0.4, -0.35]: 54465 / 11446
[25, 26]; [-0.35, -0.3]: 54184 / 11384
[25, 26]; [-0.3, -0.25]: 54040 / 11300
[25, 26]; [-0.25, -0.2]: 54363 / 11280
[25, 26]; [-0.2, -0.15]: 54500 / 11399
[25, 26]; [-0.15, -0.1]: 55291 / 11537
[25, 26]; [-0.1, -0.05]: 54974 / 11399
[25, 26]; [-0.05, 0]: 55356 / 11437
[25, 26]; [0, 0.05]: 55484 / 11419
[25, 26]; [0.05, 0.1]: 55322 / 11374
[25, 26]; [0.1, 0.15]: 55289 / 11298
[25, 26]; [0.15, 0.2]: 55176 / 11253
[25, 26]; [0.2, 0.25]: 54681 / 11418
[25, 26]; [0.25, 0.3]: 54496 / 11308
[25, 26]; [0.3, 0.35]: 54215 / 11420
[25, 26]; [0.35, 0.4]: 54133 / 11419
[25, 26]; [0.4, 0.45]: 54221 / 11610
[25, 26]; [0.45, 0.5]: 53019 / 11241
[25, 26]; [0.5, 0.55]: 42883 / 9342
[25, 26]; [0.55, 0.6]: 22029 / 4819
[25, 26]; [0.6, 0.65]: 3493 / 755
[25, 26]; [0.65, 0.7]: 0 / 0
[25, 26]; [0.7, 0.75]: 0 / 0
[25, 26]; [0.75, 0.8]: 0 / 0
[25, 26]; [0.8, 0.85]: 0 / 0
[25, 26]; [0.85, 0.9]: 0 / 0
[25, 26]; [0.9, 0.95]: 0 / 0
[25, 26]; [0.95, 1]: 0 / 0

[26, 27]; [-1, -0.95]: 0 / 0
[26, 27]; [-0.95, -0.9]: 0 / 0
[26, 27]; [-0.9, -0.85]: 0 / 0
[26, 27]; [-0.85, -0.8]: 0 / 0
[26, 27]; [-0.8, -0.75]: 0 / 0
[26, 27]; [-0.75, -0.7]: 0 / 0
[26, 27]; [-0.7, -0.65]: 12 / 2
[26, 27]; [-0.65, -0.6]: 6065 / 1287
[26, 27]; [-0.6, -0.55]: 25680 / 5242
[26, 27]; [-0.55, -0.5]: 40361 / 8650
[26, 27]; [-0.5, -0.45]: 45848 / 9694
[26, 27]; [-0.45, -0.4]: 46119 / 9747
[26, 27]; [-0.4, -0.35]: 46520 / 9760
[26, 27]; [-0.35, -0.3]: 46227 / 9563
[26, 27]; [-0.3, -0.25]: 46275 / 9464
[26, 27]; [-0.25, -0.2]: 46563 / 9536
[26, 27]; [-0.2, -0.15]: 47261 / 9706
[26, 27]; [-0.15, -0.1]: 46707 / 9415
[26, 27]; [-0.1, -0.05]: 46606 / 9628
[26, 27]; [-0.05, 0]: 46723 / 9667
[26, 27]; [0, 0.05]: 46940 / 9610
[26, 27]; [0.05, 0.1]: 46976 / 9759
[26, 27]; [0.1, 0.15]: 46788 / 9482
[26, 27]; [0.15, 0.2]: 46901 / 9534
[26, 27]; [0.2, 0.25]: 46759 / 9488
[26, 27]; [0.25, 0.3]: 46638 / 9564
[26, 27]; [0.3, 0.35]: 46602 / 9818
[26, 27]; [0.35, 0.4]: 45871 / 9484
[26, 27]; [0.4, 0.45]: 45791 / 9829
[26, 27]; [0.45, 0.5]: 45823 / 9840
[26, 27]; [0.5, 0.55]: 40366 / 8815
[26, 27]; [0.55, 0.6]: 25972 / 5486
[26, 27]; [0.6, 0.65]: 6148 / 1256
[26, 27]; [0.65, 0.7]: 10 / 5
[26, 27]; [0.7, 0.75]: 0 / 0
[26, 27]; [0.75, 0.8]: 0 / 0
[26, 27]; [0.8, 0.85]: 0 / 0
[26, 27]; [0.85, 0.9]: 0 / 0
[26, 27]; [0.9, 0.95]: 0 / 0
[26, 27]; [0.95, 1]: 0 / 0

[27, 28]; [-1, -0.95]: 0 / 0
[27, 28]; [-0.95, -0.9]: 0 / 0
[27, 28]; [-0.9, -0.85]: 0 / 0
[27, 28]; [-0.85, -0.8]: 0 / 0
[27, 28]; [-0.8, -0.75]: 0 / 0
[27, 28]; [-0.75, -0.7]: 0 / 0
[27, 28]; [-0.7, -0.65]: 242 / 46
[27, 28]; [-0.65, -0.6]: 8739 / 1809
[27, 28]; [-0.6, -0.55]: 26817 / 5528
[27, 28]; [-0.55, -0.5]: 36665 / 7690
[27, 28]; [-0.5, -0.45]: 38640 / 8019
[27, 28]; [-0.45, -0.4]: 39017 / 8131
[27, 28]; [-0.4, -0.35]: 38929 / 8135
[27, 28]; [-0.35, -0.3]: 39267 / 8155
[27, 28]; [-0.3, -0.25]: 39189 / 7902
[27, 28]; [-0.25, -0.2]: 39545 / 7871
[27, 28]; [-0.2, -0.15]: 39805 / 7980
[27, 28]; [-0.15, -0.1]: 39707 / 7954
[27, 28]; [-0.1, -0.05]: 39982 / 8133
[27, 28]; [-0.05, 0]: 39612 / 8019
[27, 28]; [0, 0.05]: 39741 / 7893
[27, 28]; [0.05, 0.1]: 39961 / 8116
[27, 28]; [0.1, 0.15]: 39805 / 8127
[27, 28]; [0.15, 0.2]: 39634 / 7851
[27, 28]; [0.2, 0.25]: 39353 / 7987
[27, 28]; [0.25, 0.3]: 39168 / 8039
[27, 28]; [0.3, 0.35]: 38832 / 8161
[27, 28]; [0.35, 0.4]: 39001 / 8023
[27, 28]; [0.4, 0.45]: 38961 / 8179
[27, 28]; [0.45, 0.5]: 38603 / 8099
[27, 28]; [0.5, 0.55]: 36708 / 7846
[27, 28]; [0.55, 0.6]: 26963 / 5854
[27, 28]; [0.6, 0.65]: 8851 / 1832
[27, 28]; [0.65, 0.7]: 245 / 61
[27, 28]; [0.7, 0.75]: 0 / 0
[27, 28]; [0.75, 0.8]: 0 / 0
[27, 28]; [0.8, 0.85]: 0 / 0
[27, 28]; [0.85, 0.9]: 0 / 0
[27, 28]; [0.9, 0.95]: 0 / 0
[27, 28]; [0.95, 1]: 0 / 0

[28, 29]; [-1, -0.95]: 0 / 0
[28, 29]; [-0.95, -0.9]: 0 / 0
[28, 29]; [-0.9, -0.85]: 0 / 0
[28, 29]; [-0.85, -0.8]: 0 / 0
[28, 29]; [-0.8, -0.75]: 0 / 0
[28, 29]; [-0.75, -0.7]: 0 / 0
[28, 29]; [-0.7, -0.65]: 908 / 185
[28, 29]; [-0.65, -0.6]: 11439 / 2440
[28, 29]; [-0.6, -0.55]: 26077 / 5447
[28, 29]; [-0.55, -0.5]: 32348 / 6608
[28, 29]; [-0.5, -0.45]: 33041 / 6837
[28, 29]; [-0.45, -0.4]: 32890 / 6821
[28, 29]; [-0.4, -0.35]: 32937 / 6698
[28, 29]; [-0.35, -0.3]: 33116 / 6524
[28, 29]; [-0.3, -0.25]: 33336 / 6577
[28, 29]; [-0.25, -0.2]: 33373 / 6624
[28, 29]; [-0.2, -0.15]: 33533 / 6553
[28, 29]; [-0.15, -0.1]: 33754 / 6693
[28, 29]; [-0.1, -0.05]: 33673 / 6713
[28, 29]; [-0.05, 0]: 33851 / 6700
[28, 29]; [0, 0.05]: 33719 / 6719
[28, 29]; [0.05, 0.1]: 33969 / 6581
[28, 29]; [0.1, 0.15]: 34003 / 6744
[28, 29]; [0.15, 0.2]: 33501 / 6722
[28, 29]; [0.2, 0.25]: 33520 / 6680
[28, 29]; [0.25, 0.3]: 33617 / 6751
[28, 29]; [0.3, 0.35]: 32824 / 6640
[28, 29]; [0.35, 0.4]: 32966 / 6786
[28, 29]; [0.4, 0.45]: 33045 / 6854
[28, 29]; [0.45, 0.5]: 32978 / 6910
[28, 29]; [0.5, 0.55]: 32429 / 6803
[28, 29]; [0.55, 0.6]: 26465 / 5411
[28, 29]; [0.6, 0.65]: 11712 / 2361
[28, 29]; [0.65, 0.7]: 848 / 181
[28, 29]; [0.7, 0.75]: 0 / 0
[28, 29]; [0.75, 0.8]: 0 / 0
[28, 29]; [0.8, 0.85]: 0 / 0
[28, 29]; [0.85, 0.9]: 0 / 0
[28, 29]; [0.9, 0.95]: 0 / 0
[28, 29]; [0.95, 1]: 0 / 0

[29, 30]; [-1, -0.95]: 0 / 0
[29, 30]; [-0.95, -0.9]: 0 / 0
[29, 30]; [-0.9, -0.85]: 0 / 0
[29, 30]; [-0.85, -0.8]: 0 / 0
[29, 30]; [-0.8, -0.75]: 0 / 0
[29, 30]; [-0.75, -0.7]: 0 / 0
[29, 30]; [-0.7, -0.65]: 1772 / 381
[29, 30]; [-0.65, -0.6]: 13182 / 2755
[29, 30]; [-0.6, -0.55]: 24696 / 5166
[29, 30]; [-0.55, -0.5]: 27775 / 5751
[29, 30]; [-0.5, -0.45]: 27892 / 5879
[29, 30]; [-0.45, -0.4]: 27812 / 5682
[29, 30]; [-0.4, -0.35]: 28145 / 5658
[29, 30]; [-0.35, -0.3]: 28429 / 5609
[29, 30]; [-0.3, -0.25]: 28535 / 5502
[29, 30]; [-0.25, -0.2]: 28553 / 5620
[29, 30]; [-0.2, -0.15]: 28687 / 5614
[29, 30]; [-0.15, -0.1]: 28719 / 5498
[29, 30]; [-0.1, -0.05]: 28386 / 5615
[29, 30]; [-0.05, 0]: 28859 / 5734
[29, 30]; [0, 0.05]: 28651 / 5516
[29, 30]; [0.05, 0.1]: 28501 / 5651
[29, 30]; [0.1, 0.15]: 28622 / 5756
[29, 30]; [0.15, 0.2]: 28517 / 5589
[29, 30]; [0.2, 0.25]: 28427 / 5578
[29, 30]; [0.25, 0.3]: 28390 / 5657
[29, 30]; [0.3, 0.35]: 28318 / 5611
[29, 30]; [0.35, 0.4]: 28171 / 5662
[29, 30]; [0.4, 0.45]: 27949 / 5598
[29, 30]; [0.45, 0.5]: 28263 / 5789
[29, 30]; [0.5, 0.55]: 28041 / 5869
[29, 30]; [0.55, 0.6]: 24921 / 5210
[29, 30]; [0.6, 0.65]: 13427 / 2736
[29, 30]; [0.65, 0.7]: 1829 / 371
[29, 30]; [0.7, 0.75]: 0 / 0
[29, 30]; [0.75, 0.8]: 0 / 0
[29, 30]; [0.8, 0.85]: 0 / 0
[29, 30]; [0.85, 0.9]: 0 / 0
[29, 30]; [0.9, 0.95]: 0 / 0
[29, 30]; [0.95, 1]: 0 / 0

[30, 31]; [-1, -0.95]: 0 / 0
[30, 31]; [-0.95, -0.9]: 0 / 0
[30, 31]; [-0.9, -0.85]: 0 / 0
[30, 31]; [-0.85, -0.8]: 0 / 0
[30, 31]; [-0.8, -0.75]: 0 / 0
[30, 31]; [-0.75, -0.7]: 0 / 0
[30, 31]; [-0.7, -0.65]: 2737 / 522
[30, 31]; [-0.65, -0.6]: 14721 / 2884
[30, 31]; [-0.6, -0.55]: 22492 / 4642
[30, 31]; [-0.55, -0.5]: 23966 / 4938
[30, 31]; [-0.5, -0.45]: 24116 / 4845
[30, 31]; [-0.45, -0.4]: 24072 / 4815
[30, 31]; [-0.4, -0.35]: 23918 / 4664
[30, 31]; [-0.35, -0.3]: 24071 / 4731
[30, 31]; [-0.3, -0.25]: 24355 / 4724
[30, 31]; [-0.25, -0.2]: 24271 / 4604
[30, 31]; [-0.2, -0.15]: 24597 / 4868
[30, 31]; [-0.15, -0.1]: 24509 / 4695
[30, 31]; [-0.1, -0.05]: 24445 / 4787
[30, 31]; [-0.05, 0]: 24396 / 4632
[30, 31]; [0, 0.05]: 24513 / 4700
[30, 31]; [0.05, 0.1]: 24742 / 4584
[30, 31]; [0.1, 0.15]: 24654 / 4773
[30, 31]; [0.15, 0.2]: 24385 / 4793
[30, 31]; [0.2, 0.25]: 24301 / 4617
[30, 31]; [0.25, 0.3]: 24368 / 4831
[30, 31]; [0.3, 0.35]: 24059 / 4689
[30, 31]; [0.35, 0.4]: 24099 / 4747
[30, 31]; [0.4, 0.45]: 23912 / 4805
[30, 31]; [0.45, 0.5]: 23991 / 4878
[30, 31]; [0.5, 0.55]: 24205 / 4876
[30, 31]; [0.55, 0.6]: 22790 / 4572
[30, 31]; [0.6, 0.65]: 14823 / 3051
[30, 31]; [0.65, 0.7]: 2919 / 598
[30, 31]; [0.7, 0.75]: 0 / 0
[30, 31]; [0.75, 0.8]: 0 / 0
[30, 31]; [0.8, 0.85]: 0 / 0
[30, 31]; [0.85, 0.9]: 0 / 0
[30, 31]; [0.9, 0.95]: 0 / 0
[30, 31]; [0.95, 1]: 0 / 0

[31, 32]; [-1, -0.95]: 0 / 0
[31, 32]; [-0.95, -0.9]: 0 / 0
[31, 32]; [-0.9, -0.85]: 0 / 0
[31, 32]; [-0.85, -0.8]: 0 / 0
[31, 32]; [-0.8, -0.75]: 0 / 0
[31, 32]; [-0.75, -0.7]: 10 / 2
[31, 32]; [-0.7, -0.65]: 4113 / 830
[31, 32]; [-0.65, -0.6]: 15151 / 2911
[31, 32]; [-0.6, -0.55]: 20133 / 4023
[31, 32]; [-0.55, -0.5]: 20262 / 4032
[31, 32]; [-0.5, -0.45]: 20614 / 4032
[31, 32]; [-0.45, -0.4]: 20499 / 4142
[31, 32]; [-0.4, -0.35]: 20731 / 3957
[31, 32]; [-0.35, -0.3]: 20814 / 3885
[31, 32]; [-0.3, -0.25]: 21043 / 4035
[31, 32]; [-0.25, -0.2]: 21231 / 3984
[31, 32]; [-0.2, -0.15]: 21008 / 3965
[31, 32]; [-0.15, -0.1]: 21013 / 4152
[31, 32]; [-0.1, -0.05]: 21121 / 4123
[31, 32]; [-0.05, 0]: 21183 / 3884
[31, 32]; [0, 0.05]: 20905 / 3997
[31, 32]; [0.05, 0.1]: 21018 / 3996
[31, 32]; [0.1, 0.15]: 20972 / 4003
[31, 32]; [0.15, 0.2]: 21119 / 4005
[31, 32]; [0.2, 0.25]: 20979 / 3940
[31, 32]; [0.25, 0.3]: 21146 / 4030
[31, 32]; [0.3, 0.35]: 20884 / 3943
[31, 32]; [0.35, 0.4]: 20984 / 3882
[31, 32]; [0.4, 0.45]: 20551 / 4094
[31, 32]; [0.45, 0.5]: 20615 / 4090
[31, 32]; [0.5, 0.55]: 20470 / 4146
[31, 32]; [0.55, 0.6]: 20030 / 3977
[31, 32]; [0.6, 0.65]: 15081 / 3077
[31, 32]; [0.65, 0.7]: 4161 / 856
[31, 32]; [0.7, 0.75]: 5 / 2
[31, 32]; [0.75, 0.8]: 0 / 0
[31, 32]; [0.8, 0.85]: 0 / 0
[31, 32]; [0.85, 0.9]: 0 / 0
[31, 32]; [0.9, 0.95]: 0 / 0
[31, 32]; [0.95, 1]: 0 / 0

[32, 33]; [-1, -0.95]: 0 / 0
[32, 33]; [-0.95, -0.9]: 0 / 0
[32, 33]; [-0.9, -0.85]: 0 / 0
[32, 33]; [-0.85, -0.8]: 0 / 0
[32, 33]; [-0.8, -0.75]: 0 / 0
[32, 33]; [-0.75, -0.7]: 89 / 22
[32, 33]; [-0.7, -0.65]: 5395 / 998
[32, 33]; [-0.65, -0.6]: 14413 / 2816
[32, 33]; [-0.6, -0.55]: 17558 / 3362
[32, 33]; [-0.55, -0.5]: 17585 / 3340
[32, 33]; [-0.5, -0.45]: 17555 / 3406
[32, 33]; [-0.45, -0.4]: 17656 / 3425
[32, 33]; [-0.4, -0.35]: 17751 / 3378
[32, 33]; [-0.35, -0.3]: 17965 / 3492
[32, 33]; [-0.3, -0.25]: 17939 / 3505
[32, 33]; [-0.25, -0.2]: 18041 / 3321
[32, 33]; [-0.2, -0.15]: 18178 / 3409
[32, 33]; [-0.15, -0.1]: 18038 / 3492
[32, 33]; [-0.1, -0.05]: 17990 / 3316
[32, 33]; [-0.05, 0]: 18183 / 3405
[32, 33]; [0, 0.05]: 18031 / 3299
[32, 33]; [0.05, 0.1]: 18240 / 3445
[32, 33]; [0.1, 0.15]: 18204 / 3410
[32, 33]; [0.15, 0.2]: 18091 / 3273
[32, 33]; [0.2, 0.25]: 18238 / 3326
[32, 33]; [0.25, 0.3]: 17862 / 3367
[32, 33]; [0.3, 0.35]: 18092 / 3366
[32, 33]; [0.35, 0.4]: 17860 / 3435
[32, 33]; [0.4, 0.45]: 17659 / 3410
[32, 33]; [0.45, 0.5]: 17716 / 3448
[32, 33]; [0.5, 0.55]: 17611 / 3401
[32, 33]; [0.55, 0.6]: 17536 / 3529
[32, 33]; [0.6, 0.65]: 14512 / 2885
[32, 33]; [0.65, 0.7]: 5516 / 1055
[32, 33]; [0.7, 0.75]: 112 / 22
[32, 33]; [0.75, 0.8]: 0 / 0
[32, 33]; [0.8, 0.85]: 0 / 0
[32, 33]; [0.85, 0.9]: 0 / 0
[32, 33]; [0.9, 0.95]: 0 / 0
[32, 33]; [0.95, 1]: 0 / 0

[33, 34]; [-1, -0.95]: 0 / 0
[33, 34]; [-0.95, -0.9]: 0 / 0
[33, 34]; [-0.9, -0.85]: 0 / 0
[33, 34]; [-0.85, -0.8]: 0 / 0
[33, 34]; [-0.8, -0.75]: 0 / 0
[33, 34]; [-0.75, -0.7]: 353 / 62
[33, 34]; [-0.7, -0.65]: 6331 / 1188
[33, 34]; [-0.65, -0.6]: 13578 / 2655
[33, 34]; [-0.6, -0.55]: 15033 / 2887
[33, 34]; [-0.55, -0.5]: 15374 / 2900
[33, 34]; [-0.5, -0.45]: 15191 / 2932
[33, 34]; [-0.45, -0.4]: 15572 / 2795
[33, 34]; [-0.4, -0.35]: 15605 / 2884
[33, 34]; [-0.35, -0.3]: 15530 / 2777
[33, 34]; [-0.3, -0.25]: 15397 / 2734
[33, 34]; [-0.25, -0.2]: 15833 / 2838
[33, 34]; [-0.2, -0.15]: 15757 / 2735
[33, 34]; [-0.15, -0.1]: 15636 / 2834
[33, 34]; [-0.1, -0.05]: 15720 / 2927
[33, 34]; [-0.05, 0]: 15517 / 2885
[33, 34]; [0, 0.05]: 15770 / 2847
[33, 34]; [0.05, 0.1]: 15568 / 2839
[33, 34]; [0.1, 0.15]: 15749 / 2822
[33, 34]; [0.15, 0.2]: 15545 / 2815
[33, 34]; [0.2, 0.25]: 15655 / 2889
[33, 34]; [0.25, 0.3]: 15827 / 2864
[33, 34]; [0.3, 0.35]: 15626 / 2795
[33, 34]; [0.35, 0.4]: 15450 / 2906
