[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[72, 74]; [-1, -0.95]: 0 / 0
[72, 74]; [-0.95, -0.9]: 0 / 0
[72, 74]; [-0.9, -0.85]: 43 / 318
[72, 74]; [-0.85, -0.8]: 599 / 5393
[72, 74]; [-0.8, -0.75]: 707 / 5841
[72, 74]; [-0.75, -0.7]: 637 / 5712
[72, 74]; [-0.7, -0.65]: 689 / 5687
[72, 74]; [-0.65, -0.6]: 686 / 5397
[72, 74]; [-0.6, -0.55]: 659 / 5405
[72, 74]; [-0.55, -0.5]: 615 / 5233
[72, 74]; [-0.5, -0.45]: 630 / 5069
[72, 74]; [-0.45, -0.4]: 601 / 5018
[72, 74]; [-0.4, -0.35]: 579 / 4717
[72, 74]; [-0.35, -0.3]: 572 / 4733
[72, 74]; [-0.3, -0.25]: 565 / 4593
[72, 74]; [-0.25, -0.2]: 546 / 4486
[72, 74]; [-0.2, -0.15]: 603 / 4639
[72, 74]; [-0.15, -0.1]: 597 / 4572
[72, 74]; [-0.1, -0.05]: 604 / 4651
[72, 74]; [-0.05, 0]: 594 / 4468
[72, 74]; [0, 0.05]: 571 / 4702
[72, 74]; [0.05, 0.1]: 571 / 4630
[72, 74]; [0.1, 0.15]: 545 / 4778
[72, 74]; [0.15, 0.2]: 548 / 4528
[72, 74]; [0.2, 0.25]: 560 / 4700
[72, 74]; [0.25, 0.3]: 564 / 4583
[72, 74]; [0.3, 0.35]: 576 / 4686
[72, 74]; [0.35, 0.4]: 619 / 4737
[72, 74]; [0.4, 0.45]: 614 / 4882
[72, 74]; [0.45, 0.5]: 603 / 5133
[72, 74]; [0.5, 0.55]: 660 / 5331
[72, 74]; [0.55, 0.6]: 648 / 5485
[72, 74]; [0.6, 0.65]: 623 / 5558
[72, 74]; [0.65, 0.7]: 665 / 5591
[72, 74]; [0.7, 0.75]: 628 / 5691
[72, 74]; [0.75, 0.8]: 675 / 5951
[72, 74]; [0.8, 0.85]: 603 / 5716
[72, 74]; [0.85, 0.9]: 30 / 317
[72, 74]; [0.9, 0.95]: 0 / 0
[72, 74]; [0.95, 1]: 0 / 0

[74, 76]; [-1, -0.95]: 0 / 0
[74, 76]; [-0.95, -0.9]: 0 / 0
[74, 76]; [-0.9, -0.85]: 40 / 539
[74, 76]; [-0.85, -0.8]: 532 / 4927
[74, 76]; [-0.8, -0.75]: 543 / 5046
[74, 76]; [-0.75, -0.7]: 592 / 5014
[74, 76]; [-0.7, -0.65]: 549 / 4866
[74, 76]; [-0.65, -0.6]: 522 / 4781
[74, 76]; [-0.6, -0.55]: 552 / 4598
[74, 76]; [-0.55, -0.5]: 558 / 4577
[74, 76]; [-0.5, -0.45]: 527 / 4308
[74, 76]; [-0.45, -0.4]: 527 / 4200
[74, 76]; [-0.4, -0.35]: 518 / 4154
[74, 76]; [-0.35, -0.3]: 533 / 3949
[74, 76]; [-0.3, -0.25]: 444 / 4011
[74, 76]; [-0.25, -0.2]: 470 / 4083
[74, 76]; [-0.2, -0.15]: 453 / 3934
[74, 76]; [-0.15, -0.1]: 472 / 3955
[74, 76]; [-0.1, -0.05]: 478 / 4068
[74, 76]; [-0.05, 0]: 540 / 4043
[74, 76]; [0, 0.05]: 506 / 4225
[74, 76]; [0.05, 0.1]: 474 / 3902
[74, 76]; [0.1, 0.15]: 495 / 3927
[74, 76]; [0.15, 0.2]: 522 / 4171
[74, 76]; [0.2, 0.25]: 462 / 4044
[74, 76]; [0.25, 0.3]: 492 / 4102
[74, 76]; [0.3, 0.35]: 529 / 4053
[74, 76]; [0.35, 0.4]: 475 / 4213
[74, 76]; [0.4, 0.45]: 548 / 4311
[74, 76]; [0.45, 0.5]: 552 / 4452
[74, 76]; [0.5, 0.55]: 548 / 4581
[74, 76]; [0.55, 0.6]: 562 / 4636
[74, 76]; [0.6, 0.65]: 564 / 4794
[74, 76]; [0.65, 0.7]: 561 / 4952
[74, 76]; [0.7, 0.75]: 520 / 5189
[74, 76]; [0.75, 0.8]: 534 / 5272
[74, 76]; [0.8, 0.85]: 571 / 5203
[74, 76]; [0.85, 0.9]: 61 / 498
[74, 76]; [0.9, 0.95]: 0 / 0
[74, 76]; [0.95, 1]: 0 / 0

[76, 78]; [-1, -0.95]: 0 / 0
[76, 78]; [-0.95, -0.9]: 0 / 0
[76, 78]; [-0.9, -0.85]: 79 / 675
[76, 78]; [-0.85, -0.8]: 482 / 4459
[76, 78]; [-0.8, -0.75]: 473 / 4581
[76, 78]; [-0.75, -0.7]: 503 / 4391
[76, 78]; [-0.7, -0.65]: 495 / 4230
[76, 78]; [-0.65, -0.6]: 457 / 4223
[76, 78]; [-0.6, -0.55]: 502 / 4111
[76, 78]; [-0.55, -0.5]: 463 / 3890
[76, 78]; [-0.5, -0.45]: 439 / 3754
