[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[46, 48]; [-1, -0.95]: 0 / 0
[46, 48]; [-0.95, -0.9]: 0 / 0
[46, 48]; [-0.9, -0.85]: 0 / 0
[46, 48]; [-0.85, -0.8]: 0 / 0
[46, 48]; [-0.8, -0.75]: 1757 / 5040
[46, 48]; [-0.75, -0.7]: 5223 / 15553
[46, 48]; [-0.7, -0.65]: 5794 / 16282
[46, 48]; [-0.65, -0.6]: 5889 / 16162
[46, 48]; [-0.6, -0.55]: 5860 / 15940
[46, 48]; [-0.55, -0.5]: 5938 / 15839
[46, 48]; [-0.5, -0.45]: 5957 / 15696
[46, 48]; [-0.45, -0.4]: 5891 / 15601
[46, 48]; [-0.4, -0.35]: 5884 / 15446
[46, 48]; [-0.35, -0.3]: 5788 / 15121
[46, 48]; [-0.3, -0.25]: 5854 / 15179
[46, 48]; [-0.25, -0.2]: 5869 / 15038
[46, 48]; [-0.2, -0.15]: 5806 / 15153
[46, 48]; [-0.15, -0.1]: 5774 / 14749
[46, 48]; [-0.1, -0.05]: 5628 / 14977
[46, 48]; [-0.05, 0]: 5866 / 14982
[46, 48]; [0, 0.05]: 5853 / 15173
[46, 48]; [0.05, 0.1]: 5679 / 14855
[46, 48]; [0.1, 0.15]: 5723 / 14887
[46, 48]; [0.15, 0.2]: 5793 / 15046
[46, 48]; [0.2, 0.25]: 5803 / 15148
[46, 48]; [0.25, 0.3]: 5962 / 15111
[46, 48]; [0.3, 0.35]: 5854 / 15293
[46, 48]; [0.35, 0.4]: 5909 / 15565
[46, 48]; [0.4, 0.45]: 5955 / 15480
[46, 48]; [0.45, 0.5]: 5904 / 15814
[46, 48]; [0.5, 0.55]: 5896 / 15933
[46, 48]; [0.55, 0.6]: 5948 / 16035
[46, 48]; [0.6, 0.65]: 5760 / 16138
[46, 48]; [0.65, 0.7]: 5754 / 16929
[46, 48]; [0.7, 0.75]: 5339 / 15733
[46, 48]; [0.75, 0.8]: 1774 / 5331
[46, 48]; [0.8, 0.85]: 0 / 0
[46, 48]; [0.85, 0.9]: 0 / 0
[46, 48]; [0.9, 0.95]: 0 / 0
[46, 48]; [0.95, 1]: 0 / 0

[48, 50]; [-1, -0.95]: 0 / 0
[48, 50]; [-0.95, -0.9]: 0 / 0
[48, 50]; [-0.9, -0.85]: 0 / 0
[48, 50]; [-0.85, -0.8]: 6 / 19
[48, 50]; [-0.8, -0.75]: 2160 / 6289
[48, 50]; [-0.75, -0.7]: 4787 / 13810
[48, 50]; [-0.7, -0.65]: 4635 / 13677
[48, 50]; [-0.65, -0.6]: 4656 / 13363
[48, 50]; [-0.6, -0.55]: 4787 / 13339
[48, 50]; [-0.55, -0.5]: 4725 / 13145
[48, 50]; [-0.5, -0.45]: 4653 / 12958
[48, 50]; [-0.45, -0.4]: 4615 / 12788
[48, 50]; [-0.4, -0.35]: 4757 / 12824
[48, 50]; [-0.35, -0.3]: 4712 / 12614
[48, 50]; [-0.3, -0.25]: 4743 / 12696
[48, 50]; [-0.25, -0.2]: 4571 / 12399
[48, 50]; [-0.2, -0.15]: 4707 / 12513
[48, 50]; [-0.15, -0.1]: 4680 / 12203
[48, 50]; [-0.1, -0.05]: 4622 / 12257
[48, 50]; [-0.05, 0]: 4557 / 12328
[48, 50]; [0, 0.05]: 4721 / 12276
[48, 50]; [0.05, 0.1]: 4729 / 12452
[48, 50]; [0.1, 0.15]: 4760 / 12312
[48, 50]; [0.15, 0.2]: 4629 / 12545
[48, 50]; [0.2, 0.25]: 4706 / 12500
[48, 50]; [0.25, 0.3]: 4644 / 12716
[48, 50]; [0.3, 0.35]: 4652 / 12497
[48, 50]; [0.35, 0.4]: 4734 / 12818
[48, 50]; [0.4, 0.45]: 4782 / 13010
[48, 50]; [0.45, 0.5]: 4757 / 12984
[48, 50]; [0.5, 0.55]: 4880 / 13082
[48, 50]; [0.55, 0.6]: 4757 / 13209
