[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[25, 26]; [-1, -0.95]: 0 / 0
[25, 26]; [-0.95, -0.9]: 0 / 0
[25, 26]; [-0.9, -0.85]: 0 / 0
[25, 26]; [-0.85, -0.8]: 0 / 0
[25, 26]; [-0.8, -0.75]: 0 / 0
[25, 26]; [-0.75, -0.7]: 0 / 0
[25, 26]; [-0.7, -0.65]: 0 / 0
[25, 26]; [-0.65, -0.6]: 3168 / 788
[25, 26]; [-0.6, -0.55]: 20183 / 4739
[25, 26]; [-0.55, -0.5]: 39656 / 9263
[25, 26]; [-0.5, -0.45]: 47945 / 11178
[25, 26]; [-0.45, -0.4]: 48576 / 11578
[25, 26]; [-0.4, -0.35]: 48345 / 11446
[25, 26]; [-0.35, -0.3]: 48324 / 11384
[25, 26]; [-0.3, -0.25]: 47337 / 11300
[25, 26]; [-0.25, -0.2]: 47649 / 11280
[25, 26]; [-0.2, -0.15]: 47233 / 11399
[25, 26]; [-0.15, -0.1]: 47556 / 11537
[25, 26]; [-0.1, -0.05]: 47388 / 11399
[25, 26]; [-0.05, 0]: 47450 / 11437
[25, 26]; [0, 0.05]: 47290 / 11419
[25, 26]; [0.05, 0.1]: 47681 / 11374
[25, 26]; [0.1, 0.15]: 47486 / 11298
[25, 26]; [0.15, 0.2]: 48176 / 11253
[25, 26]; [0.2, 0.25]: 47624 / 11418
[25, 26]; [0.25, 0.3]: 47941 / 11308
[25, 26]; [0.3, 0.35]: 48256 / 11420
[25, 26]; [0.35, 0.4]: 48555 / 11419
[25, 26]; [0.4, 0.45]: 49032 / 11610
[25, 26]; [0.45, 0.5]: 48423 / 11241
[25, 26]; [0.5, 0.55]: 39678 / 9342
[25, 26]; [0.55, 0.6]: 20466 / 4819
[25, 26]; [0.6, 0.65]: 3279 / 755
[25, 26]; [0.65, 0.7]: 0 / 0
[25, 26]; [0.7, 0.75]: 0 / 0
[25, 26]; [0.75, 0.8]: 0 / 0
[25, 26]; [0.8, 0.85]: 0 / 0
[25, 26]; [0.85, 0.9]: 0 / 0
[25, 26]; [0.9, 0.95]: 0 / 0
[25, 26]; [0.95, 1]: 0 / 0

[26, 27]; [-1, -0.95]: 0 / 0
[26, 27]; [-0.95, -0.9]: 0 / 0
[26, 27]; [-0.9, -0.85]: 0 / 0
[26, 27]; [-0.85, -0.8]: 0 / 0
[26, 27]; [-0.8, -0.75]: 0 / 0
[26, 27]; [-0.75, -0.7]: 0 / 0
[26, 27]; [-0.7, -0.65]: 4 / 2
[26, 27]; [-0.65, -0.6]: 5426 / 1287
[26, 27]; [-0.6, -0.55]: 23156 / 5242
[26, 27]; [-0.55, -0.5]: 36607 / 8650
[26, 27]; [-0.5, -0.45]: 41004 / 9694
[26, 27]; [-0.45, -0.4]: 40353 / 9747
[26, 27]; [-0.4, -0.35]: 40050 / 9760
[26, 27]; [-0.35, -0.3]: 39738 / 9563
[26, 27]; [-0.3, -0.25]: 39644 / 9464
[26, 27]; [-0.25, -0.2]: 39608 / 9536
[26, 27]; [-0.2, -0.15]: 38863 / 9706
[26, 27]; [-0.15, -0.1]: 39223 / 9415
[26, 27]; [-0.1, -0.05]: 38957 / 9628
[26, 27]; [-0.05, 0]: 38776 / 9667
[26, 27]; [0, 0.05]: 39218 / 9610
[26, 27]; [0.05, 0.1]: 39515 / 9759
[26, 27]; [0.1, 0.15]: 39146 / 9482
[26, 27]; [0.15, 0.2]: 39703 / 9534
[26, 27]; [0.2, 0.25]: 39000 / 9488
[26, 27]; [0.25, 0.3]: 39831 / 9564
[26, 27]; [0.3, 0.35]: 39597 / 9818
[26, 27]; [0.35, 0.4]: 39834 / 9484
[26, 27]; [0.4, 0.45]: 40266 / 9829
[26, 27]; [0.45, 0.5]: 40697 / 9840
[26, 27]; [0.5, 0.55]: 36860 / 8815
[26, 27]; [0.55, 0.6]: 23203 / 5486
[26, 27]; [0.6, 0.65]: 5423 / 1256
[26, 27]; [0.65, 0.7]: 9 / 5
[26, 27]; [0.7, 0.75]: 0 / 0
[26, 27]; [0.75, 0.8]: 0 / 0
[26, 27]; [0.8, 0.85]: 0 / 0
[26, 27]; [0.85, 0.9]: 0 / 0
[26, 27]; [0.9, 0.95]: 0 / 0
[26, 27]; [0.95, 1]: 0 / 0

[27, 28]; [-1, -0.95]: 0 / 0
[27, 28]; [-0.95, -0.9]: 0 / 0
[27, 28]; [-0.9, -0.85]: 0 / 0
[27, 28]; [-0.85, -0.8]: 0 / 0
[27, 28]; [-0.8, -0.75]: 0 / 0
[27, 28]; [-0.75, -0.7]: 0 / 0
[27, 28]; [-0.7, -0.65]: 188 / 46
[27, 28]; [-0.65, -0.6]: 7634 / 1809
[27, 28]; [-0.6, -0.55]: 23675 / 5528
[27, 28]; [-0.55, -0.5]: 32139 / 7690
[27, 28]; [-0.5, -0.45]: 33267 / 8019
[27, 28]; [-0.45, -0.4]: 32867 / 8131
[27, 28]; [-0.4, -0.35]: 32844 / 8135
[27, 28]; [-0.35, -0.3]: 32385 / 8155
[27, 28]; [-0.3, -0.25]: 32342 / 7902
[27, 28]; [-0.25, -0.2]: 32277 / 7871
[27, 28]; [-0.2, -0.15]: 32008 / 7980
[27, 28]; [-0.15, -0.1]: 32211 / 7954
[27, 28]; [-0.1, -0.05]: 31975 / 8133
[27, 28]; [-0.05, 0]: 32116 / 8019
[27, 28]; [0, 0.05]: 32117 / 7893
[27, 28]; [0.05, 0.1]: 32200 / 8116
[27, 28]; [0.1, 0.15]: 32056 / 8127
[27, 28]; [0.15, 0.2]: 32039 / 7851
[27, 28]; [0.2, 0.25]: 32350 / 7987
[27, 28]; [0.25, 0.3]: 32244 / 8039
[27, 28]; [0.3, 0.35]: 32683 / 8161
[27, 28]; [0.35, 0.4]: 32888 / 8023
[27, 28]; [0.4, 0.45]: 33116 / 8179
[27, 28]; [0.45, 0.5]: 33646 / 8099
[27, 28]; [0.5, 0.55]: 32375 / 7846
[27, 28]; [0.55, 0.6]: 23771 / 5854
[27, 28]; [0.6, 0.65]: 7749 / 1832
[27, 28]; [0.65, 0.7]: 200 / 61
[27, 28]; [0.7, 0.75]: 0 / 0
[27, 28]; [0.75, 0.8]: 0 / 0
[27, 28]; [0.8, 0.85]: 0 / 0
[27, 28]; [0.85, 0.9]: 0 / 0
[27, 28]; [0.9, 0.95]: 0 / 0
[27, 28]; [0.95, 1]: 0 / 0

[28, 29]; [-1, -0.95]: 0 / 0
[28, 29]; [-0.95, -0.9]: 0 / 0
[28, 29]; [-0.9, -0.85]: 0 / 0
[28, 29]; [-0.85, -0.8]: 0 / 0
[28, 29]; [-0.8, -0.75]: 0 / 0
[28, 29]; [-0.75, -0.7]: 0 / 0
[28, 29]; [-0.7, -0.65]: 753 / 185
[28, 29]; [-0.65, -0.6]: 10058 / 2440
[28, 29]; [-0.6, -0.55]: 22616 / 5447
[28, 29]; [-0.55, -0.5]: 27330 / 6608
[28, 29]; [-0.5, -0.45]: 27488 / 6837
[28, 29]; [-0.45, -0.4]: 27058 / 6821
[28, 29]; [-0.4, -0.35]: 27195 / 6698
[28, 29]; [-0.35, -0.3]: 26747 / 6524
[28, 29]; [-0.3, -0.25]: 26368 / 6577
[28, 29]; [-0.25, -0.2]: 26547 / 6624
[28, 29]; [-0.2, -0.15]: 26780 / 6553
[28, 29]; [-0.15, -0.1]: 26399 / 6693
[28, 29]; [-0.1, -0.05]: 26478 / 6713
[28, 29]; [-0.05, 0]: 26479 / 6700
[28, 29]; [0, 0.05]: 26319 / 6719
[28, 29]; [0.05, 0.1]: 26788 / 6581
[28, 29]; [0.1, 0.15]: 26320 / 6744
[28, 29]; [0.15, 0.2]: 26409 / 6722
[28, 29]; [0.2, 0.25]: 26534 / 6680
[28, 29]; [0.25, 0.3]: 26929 / 6751
[28, 29]; [0.3, 0.35]: 26968 / 6640
[28, 29]; [0.35, 0.4]: 27089 / 6786
[28, 29]; [0.4, 0.45]: 27220 / 6854
[28, 29]; [0.45, 0.5]: 27488 / 6910
[28, 29]; [0.5, 0.55]: 27676 / 6803
[28, 29]; [0.55, 0.6]: 22544 / 5411
[28, 29]; [0.6, 0.65]: 9743 / 2361
[28, 29]; [0.65, 0.7]: 721 / 181
[28, 29]; [0.7, 0.75]: 0 / 0
[28, 29]; [0.75, 0.8]: 0 / 0
[28, 29]; [0.8, 0.85]: 0 / 0
[28, 29]; [0.85, 0.9]: 0 / 0
[28, 29]; [0.9, 0.95]: 0 / 0
[28, 29]; [0.95, 1]: 0 / 0

[29, 30]; [-1, -0.95]: 0 / 0
[29, 30]; [-0.95, -0.9]: 0 / 0
[29, 30]; [-0.9, -0.85]: 0 / 0
[29, 30]; [-0.85, -0.8]: 0 / 0
[29, 30]; [-0.8, -0.75]: 0 / 0
[29, 30]; [-0.75, -0.7]: 0 / 0
[29, 30]; [-0.7, -0.65]: 1431 / 381
[29, 30]; [-0.65, -0.6]: 11393 / 2755
[29, 30]; [-0.6, -0.55]: 20590 / 5166
[29, 30]; [-0.55, -0.5]: 23194 / 5751
[29, 30]; [-0.5, -0.45]: 22943 / 5879
[29, 30]; [-0.45, -0.4]: 22564 / 5682
[29, 30]; [-0.4, -0.35]: 22144 / 5658
[29, 30]; [-0.35, -0.3]: 22205 / 5609
[29, 30]; [-0.3, -0.25]: 22089 / 5502
[29, 30]; [-0.25, -0.2]: 21944 / 5620
[29, 30]; [-0.2, -0.15]: 22099 / 5614
[29, 30]; [-0.15, -0.1]: 21793 / 5498
[29, 30]; [-0.1, -0.05]: 21918 / 5615
[29, 30]; [-0.05, 0]: 21879 / 5734
[29, 30]; [0, 0.05]: 22112 / 5516
[29, 30]; [0.05, 0.1]: 21925 / 5651
[29, 30]; [0.1, 0.15]: 21897 / 5756
[29, 30]; [0.15, 0.2]: 21987 / 5589
[29, 30]; [0.2, 0.25]: 22401 / 5578
[29, 30]; [0.25, 0.3]: 22106 / 5657
[29, 30]; [0.3, 0.35]: 22009 / 5611
[29, 30]; [0.35, 0.4]: 22314 / 5662
[29, 30]; [0.4, 0.45]: 22599 / 5598
[29, 30]; [0.45, 0.5]: 23135 / 5789
[29, 30]; [0.5, 0.55]: 22992 / 5869
[29, 30]; [0.55, 0.6]: 21054 / 5210
[29, 30]; [0.6, 0.65]: 11469 / 2736
[29, 30]; [0.65, 0.7]: 1469 / 371
[29, 30]; [0.7, 0.75]: 0 / 0
[29, 30]; [0.75, 0.8]: 0 / 0
[29, 30]; [0.8, 0.85]: 0 / 0
[29, 30]; [0.85, 0.9]: 0 / 0
[29, 30]; [0.9, 0.95]: 0 / 0
[29, 30]; [0.95, 1]: 0 / 0

[30, 31]; [-1, -0.95]: 0 / 0
[30, 31]; [-0.95, -0.9]: 0 / 0
[30, 31]; [-0.9, -0.85]: 0 / 0
[30, 31]; [-0.85, -0.8]: 0 / 0
[30, 31]; [-0.8, -0.75]: 0 / 0
[30, 31]; [-0.75, -0.7]: 0 / 0
[30, 31]; [-0.7, -0.65]: 2422 / 522
[30, 31]; [-0.65, -0.6]: 12138 / 2884
[30, 31]; [-0.6, -0.55]: 18523 / 4642
[30, 31]; [-0.55, -0.5]: 19357 / 4938
[30, 31]; [-0.5, -0.45]: 19291 / 4845
[30, 31]; [-0.45, -0.4]: 19015 / 4815
[30, 31]; [-0.4, -0.35]: 18615 / 4664
[30, 31]; [-0.35, -0.3]: 18663 / 4731
[30, 31]; [-0.3, -0.25]: 18386 / 4724
[30, 31]; [-0.25, -0.2]: 18457 / 4604
[30, 31]; [-0.2, -0.15]: 18475 / 4868
[30, 31]; [-0.15, -0.1]: 18196 / 4695
[30, 31]; [-0.1, -0.05]: 18260 / 4787
[30, 31]; [-0.05, 0]: 18521 / 4632
[30, 31]; [0, 0.05]: 18175 / 4700
[30, 31]; [0.05, 0.1]: 18113 / 4584
[30, 31]; [0.1, 0.15]: 18399 / 4773
[30, 31]; [0.15, 0.2]: 18374 / 4793
[30, 31]; [0.2, 0.25]: 18471 / 4617
[30, 31]; [0.25, 0.3]: 18807 / 4831
[30, 31]; [0.3, 0.35]: 18792 / 4689
[30, 31]; [0.35, 0.4]: 18816 / 4747
[30, 31]; [0.4, 0.45]: 18788 / 4805
[30, 31]; [0.45, 0.5]: 19042 / 4878
[30, 31]; [0.5, 0.55]: 19342 / 4876
[30, 31]; [0.55, 0.6]: 18739 / 4572
[30, 31]; [0.6, 0.65]: 12238 / 3051
[30, 31]; [0.65, 0.7]: 2326 / 598
[30, 31]; [0.7, 0.75]: 0 / 0
[30, 31]; [0.75, 0.8]: 0 / 0
[30, 31]; [0.8, 0.85]: 0 / 0
[30, 31]; [0.85, 0.9]: 0 / 0
[30, 31]; [0.9, 0.95]: 0 / 0
[30, 31]; [0.95, 1]: 0 / 0

[31, 32]; [-1, -0.95]: 0 / 0
[31, 32]; [-0.95, -0.9]: 0 / 0
[31, 32]; [-0.9, -0.85]: 0 / 0
[31, 32]; [-0.85, -0.8]: 0 / 0
[31, 32]; [-0.8, -0.75]: 0 / 0
[31, 32]; [-0.75, -0.7]: 7 / 2
[31, 32]; [-0.7, -0.65]: 3230 / 830
[31, 32]; [-0.65, -0.6]: 12225 / 2911
[31, 32]; [-0.6, -0.55]: 16125 / 4023
[31, 32]; [-0.55, -0.5]: 16149 / 4032
[31, 32]; [-0.5, -0.45]: 16007 / 4032
[31, 32]; [-0.45, -0.4]: 15734 / 4142
[31, 32]; [-0.4, -0.35]: 15639 / 3957
[31, 32]; [-0.35, -0.3]: 15668 / 3885
[31, 32]; [-0.3, -0.25]: 15417 / 4035
[31, 32]; [-0.25, -0.2]: 15334 / 3984
[31, 32]; [-0.2, -0.15]: 15486 / 3965
[31, 32]; [-0.15, -0.1]: 15310 / 4152
[31, 32]; [-0.1, -0.05]: 15319 / 4123
[31, 32]; [-0.05, 0]: 15206 / 3884
[31, 32]; [0, 0.05]: 15356 / 3997
[31, 32]; [0.05, 0.1]: 15370 / 3996
[31, 32]; [0.1, 0.15]: 15395 / 4003
[31, 32]; [0.15, 0.2]: 15430 / 4005
[31, 32]; [0.2, 0.25]: 15316 / 3940
[31, 32]; [0.25, 0.3]: 15711 / 4030
[31, 32]; [0.3, 0.35]: 15646 / 3943
[31, 32]; [0.35, 0.4]: 15541 / 3882
[31, 32]; [0.4, 0.45]: 15832 / 4094
[31, 32]; [0.45, 0.5]: 16007 / 4090
[31, 32]; [0.5, 0.55]: 16315 / 4146
[31, 32]; [0.55, 0.6]: 16311 / 3977
[31, 32]; [0.6, 0.65]: 12343 / 3077
[31, 32]; [0.65, 0.7]: 3390 / 856
[31, 32]; [0.7, 0.75]: 14 / 2
[31, 32]; [0.75, 0.8]: 0 / 0
[31, 32]; [0.8, 0.85]: 0 / 0
[31, 32]; [0.85, 0.9]: 0 / 0
[31, 32]; [0.9, 0.95]: 0 / 0
[31, 32]; [0.95, 1]: 0 / 0

[32, 33]; [-1, -0.95]: 0 / 0
[32, 33]; [-0.95, -0.9]: 0 / 0
[32, 33]; [-0.9, -0.85]: 0 / 0
[32, 33]; [-0.85, -0.8]: 0 / 0
[32, 33]; [-0.8, -0.75]: 0 / 0
[32, 33]; [-0.75, -0.7]: 107 / 22
[32, 33]; [-0.7, -0.65]: 4405 / 998
[32, 33]; [-0.65, -0.6]: 11627 / 2816
[32, 33]; [-0.6, -0.55]: 13788 / 3362
[32, 33]; [-0.55, -0.5]: 13800 / 3340
[32, 33]; [-0.5, -0.45]: 13371 / 3406
[32, 33]; [-0.45, -0.4]: 13692 / 3425
[32, 33]; [-0.4, -0.35]: 13326 / 3378
[32, 33]; [-0.35, -0.3]: 13303 / 3492
[32, 33]; [-0.3, -0.25]: 13181 / 3505
[32, 33]; [-0.25, -0.2]: 12894 / 3321
[32, 33]; [-0.2, -0.15]: 13100 / 3409
[32, 33]; [-0.15, -0.1]: 13167 / 3492
[32, 33]; [-0.1, -0.05]: 12963 / 3316
[32, 33]; [-0.05, 0]: 13006 / 3405
[32, 33]; [0, 0.05]: 12756 / 3299
[32, 33]; [0.05, 0.1]: 12738 / 3445
[32, 33]; [0.1, 0.15]: 12823 / 3410
[32, 33]; [0.15, 0.2]: 13037 / 3273
[32, 33]; [0.2, 0.25]: 13080 / 3326
[32, 33]; [0.25, 0.3]: 13301 / 3367
[32, 33]; [0.3, 0.35]: 13202 / 3366
[32, 33]; [0.35, 0.4]: 13292 / 3435
[32, 33]; [0.4, 0.45]: 13308 / 3410
[32, 33]; [0.45, 0.5]: 13568 / 3448
[32, 33]; [0.5, 0.55]: 13788 / 3401
[32, 33]; [0.55, 0.6]: 13925 / 3529
[32, 33]; [0.6, 0.65]: 11687 / 2885
[32, 33]; [0.65, 0.7]: 4259 / 1055
[32, 33]; [0.7, 0.75]: 97 / 22
[32, 33]; [0.75, 0.8]: 0 / 0
[32, 33]; [0.8, 0.85]: 0 / 0
[32, 33]; [0.85, 0.9]: 0 / 0
[32, 33]; [0.9, 0.95]: 0 / 0
[32, 33]; [0.95, 1]: 0 / 0

[33, 34]; [-1, -0.95]: 0 / 0
[33, 34]; [-0.95, -0.9]: 0 / 0
[33, 34]; [-0.9, -0.85]: 0 / 0
[33, 34]; [-0.85, -0.8]: 0 / 0
[33, 34]; [-0.8, -0.75]: 0 / 0
[33, 34]; [-0.75, -0.7]: 237 / 62
[33, 34]; [-0.7, -0.65]: 5082 / 1188
[33, 34]; [-0.65, -0.6]: 10885 / 2655
[33, 34]; [-0.6, -0.55]: 11706 / 2887
[33, 34]; [-0.55, -0.5]: 11660 / 2900
[33, 34]; [-0.5, -0.45]: 11459 / 2932
[33, 34]; [-0.45, -0.4]: 11360 / 2795
[33, 34]; [-0.4, -0.35]: 11406 / 2884
[33, 34]; [-0.35, -0.3]: 11200 / 2777
[33, 34]; [-0.3, -0.25]: 11006 / 2734
[33, 34]; [-0.25, -0.2]: 11085 / 2838
[33, 34]; [-0.2, -0.15]: 11042 / 2735
[33, 34]; [-0.15, -0.1]: 11008 / 2834
[33, 34]; [-0.1, -0.05]: 10981 / 2927
[33, 34]; [-0.05, 0]: 11120 / 2885
[33, 34]; [0, 0.05]: 11009 / 2847
[33, 34]; [0.05, 0.1]: 10912 / 2839
[33, 34]; [0.1, 0.15]: 11001 / 2822
[33, 34]; [0.15, 0.2]: 11128 / 2815
[33, 34]; [0.2, 0.25]: 11115 / 2889
[33, 34]; [0.25, 0.3]: 11156 / 2864
[33, 34]; [0.3, 0.35]: 11213 / 2795
[33, 34]; [0.35, 0.4]: 11320 / 2906
