[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[50, 52]; [0.85, 0.9]: 0 / 0
[50, 52]; [0.9, 0.95]: 0 / 0
[50, 52]; [0.95, 1]: 0 / 0

[52, 54]; [-1, -0.95]: 0 / 0
[52, 54]; [-0.95, -0.9]: 0 / 0
[52, 54]; [-0.9, -0.85]: 0 / 0
[52, 54]; [-0.85, -0.8]: 85 / 388
[52, 54]; [-0.8, -0.75]: 1741 / 7324
[52, 54]; [-0.75, -0.7]: 2224 / 9983
[52, 54]; [-0.7, -0.65]: 2175 / 9786
[52, 54]; [-0.65, -0.6]: 2177 / 9534
[52, 54]; [-0.6, -0.55]: 2091 / 9404
[52, 54]; [-0.55, -0.5]: 1947 / 9190
[52, 54]; [-0.5, -0.45]: 1947 / 9092
[52, 54]; [-0.45, -0.4]: 1966 / 9105
[52, 54]; [-0.4, -0.35]: 1893 / 8909
[52, 54]; [-0.35, -0.3]: 1900 / 9021
[52, 54]; [-0.3, -0.25]: 1804 / 8808
[52, 54]; [-0.25, -0.2]: 1812 / 8487
[52, 54]; [-0.2, -0.15]: 1805 / 8699
[52, 54]; [-0.15, -0.1]: 1819 / 8717
[52, 54]; [-0.1, -0.05]: 1735 / 8647
[52, 54]; [-0.05, 0]: 1844 / 8465
[52, 54]; [0, 0.05]: 1792 / 8649
[52, 54]; [0.05, 0.1]: 1748 / 8596
[52, 54]; [0.1, 0.15]: 1795 / 8540
[52, 54]; [0.15, 0.2]: 1802 / 8847
[52, 54]; [0.2, 0.25]: 1867 / 8854
[52, 54]; [0.25, 0.3]: 1784 / 8964
[52, 54]; [0.3, 0.35]: 1907 / 8921
[52, 54]; [0.35, 0.4]: 1915 / 9006
[52, 54]; [0.4, 0.45]: 1909 / 9211
[52, 54]; [0.45, 0.5]: 2016 / 9226
[52, 54]; [0.5, 0.55]: 2024 / 9288
[52, 54]; [0.55, 0.6]: 2067 / 9542
[52, 54]; [0.6, 0.65]: 2083 / 9526
[52, 54]; [0.65, 0.7]: 2193 / 10035
[52, 54]; [0.7, 0.75]: 2283 / 10068
[52, 54]; [0.75, 0.8]: 1677 / 7627
[52, 54]; [0.8, 0.85]: 102 / 376
[52, 54]; [0.85, 0.9]: 0 / 0
[52, 54]; [0.9, 0.95]: 0 / 0
[52, 54]; [0.95, 1]: 0 / 0

[54, 56]; [-1, -0.95]: 0 / 0
[54, 56]; [-0.95, -0.9]: 0 / 0
[54, 56]; [-0.9, -0.85]: 0 / 0
[54, 56]; [-0.85, -0.8]: 166 / 707
[54, 56]; [-0.8, -0.75]: 1601 / 7055
[54, 56]; [-0.75, -0.7]: 1823 / 8327
[54, 56]; [-0.7, -0.65]: 1805 / 8135
[54, 56]; [-0.65, -0.6]: 1611 / 7889
[54, 56]; [-0.6, -0.55]: 1720 / 7623
[54, 56]; [-0.55, -0.5]: 1594 / 7748
[54, 56]; [-0.5, -0.45]: 1621 / 7793
[54, 56]; [-0.45, -0.4]: 1595 / 7439
[54, 56]; [-0.4, -0.35]: 1543 / 7492
[54, 56]; [-0.35, -0.3]: 1496 / 7431
[54, 56]; [-0.3, -0.25]: 1509 / 7231
[54, 56]; [-0.25, -0.2]: 1400 / 7320
[54, 56]; [-0.2, -0.15]: 1454 / 7259
[54, 56]; [-0.15, -0.1]: 1458 / 7152
[54, 56]; [-0.1, -0.05]: 1408 / 7145
[54, 56]; [-0.05, 0]: 1397 / 7102
[54, 56]; [0, 0.05]: 1416 / 7096
[54, 56]; [0.05, 0.1]: 1425 / 7145
[54, 56]; [0.1, 0.15]: 1507 / 7064
[54, 56]; [0.15, 0.2]: 1419 / 7077
[54, 56]; [0.2, 0.25]: 1536 / 7259
[54, 56]; [0.25, 0.3]: 1488 / 7312
[54, 56]; [0.3, 0.35]: 1525 / 7272
[54, 56]; [0.35, 0.4]: 1576 / 7369
[54, 56]; [0.4, 0.45]: 1547 / 7515
[54, 56]; [0.45, 0.5]: 1654 / 7675
[54, 56]; [0.5, 0.55]: 1609 / 7812
[54, 56]; [0.55, 0.6]: 1706 / 8073
[54, 56]; [0.6, 0.65]: 1671 / 7866
[54, 56]; [0.65, 0.7]: 1798 / 8100
[54, 56]; [0.7, 0.75]: 1837 / 8388
[54, 56]; [0.75, 0.8]: 1574 / 7214
[54, 56]; [0.8, 0.85]: 164 / 723
[54, 56]; [0.85, 0.9]: 0 / 0
[54, 56]; [0.9, 0.95]: 0 / 0
[54, 56]; [0.95, 1]: 0 / 0

[56, 58]; [-1, -0.95]: 0 / 0
[56, 58]; [-0.95, -0.9]: 0 / 0
[56, 58]; [-0.9, -0.85]: 0 / 0
[56, 58]; [-0.85, -0.8]: 241 / 1164
[56, 58]; [-0.8, -0.75]: 1423 / 6339
[56, 58]; [-0.75, -0.7]: 1510 / 6730
[56, 58]; [-0.7, -0.65]: 1425 / 6540
[56, 58]; [-0.65, -0.6]: 1374 / 6581
[56, 58]; [-0.6, -0.55]: 1363 / 6520
[56, 58]; [-0.55, -0.5]: 1320 / 6328
[56, 58]; [-0.5, -0.45]: 1353 / 6255
[56, 58]; [-0.45, -0.4]: 1258 / 6301
[56, 58]; [-0.4, -0.35]: 1275 / 6194
[56, 58]; [-0.35, -0.3]: 1131 / 6083
[56, 58]; [-0.3, -0.25]: 1254 / 6000
[56, 58]; [-0.25, -0.2]: 1208 / 5881
[56, 58]; [-0.2, -0.15]: 1162 / 5900
[56, 58]; [-0.15, -0.1]: 1094 / 5939
[56, 58]; [-0.1, -0.05]: 1170 / 5947
[56, 58]; [-0.05, 0]: 1178 / 5807
[56, 58]; [0, 0.05]: 1126 / 5918
[56, 58]; [0.05, 0.1]: 1221 / 5993
[56, 58]; [0.1, 0.15]: 1098 / 5977
