[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[50, 52]; [0.85, 0.9]: 0 / 0
[50, 52]; [0.9, 0.95]: 0 / 0
[50, 52]; [0.95, 1]: 0 / 0

[52, 54]; [-1, -0.95]: 0 / 0
[52, 54]; [-0.95, -0.9]: 0 / 0
[52, 54]; [-0.9, -0.85]: 0 / 0
[52, 54]; [-0.85, -0.8]: 88 / 381
[52, 54]; [-0.8, -0.75]: 1691 / 7116
[52, 54]; [-0.75, -0.7]: 2134 / 9732
[52, 54]; [-0.7, -0.65]: 2097 / 9492
[52, 54]; [-0.65, -0.6]: 2116 / 9246
[52, 54]; [-0.6, -0.55]: 2032 / 9128
[52, 54]; [-0.55, -0.5]: 1889 / 8902
[52, 54]; [-0.5, -0.45]: 1886 / 8815
[52, 54]; [-0.45, -0.4]: 1926 / 8843
[52, 54]; [-0.4, -0.35]: 1836 / 8636
[52, 54]; [-0.35, -0.3]: 1847 / 8731
[52, 54]; [-0.3, -0.25]: 1741 / 8559
[52, 54]; [-0.25, -0.2]: 1776 / 8251
[52, 54]; [-0.2, -0.15]: 1771 / 8459
[52, 54]; [-0.15, -0.1]: 1756 / 8463
[52, 54]; [-0.1, -0.05]: 1697 / 8382
[52, 54]; [-0.05, 0]: 1778 / 8195
[52, 54]; [0, 0.05]: 1748 / 8392
[52, 54]; [0.05, 0.1]: 1700 / 8377
[52, 54]; [0.1, 0.15]: 1736 / 8285
[52, 54]; [0.15, 0.2]: 1759 / 8569
[52, 54]; [0.2, 0.25]: 1806 / 8631
[52, 54]; [0.25, 0.3]: 1726 / 8707
[52, 54]; [0.3, 0.35]: 1852 / 8645
[52, 54]; [0.35, 0.4]: 1858 / 8735
[52, 54]; [0.4, 0.45]: 1844 / 8917
[52, 54]; [0.45, 0.5]: 1957 / 8975
[52, 54]; [0.5, 0.55]: 1984 / 9042
[52, 54]; [0.55, 0.6]: 2000 / 9285
[52, 54]; [0.6, 0.65]: 2027 / 9245
[52, 54]; [0.65, 0.7]: 2107 / 9769
[52, 54]; [0.7, 0.75]: 2197 / 9760
[52, 54]; [0.75, 0.8]: 1618 / 7387
[52, 54]; [0.8, 0.85]: 97 / 370
[52, 54]; [0.85, 0.9]: 0 / 0
[52, 54]; [0.9, 0.95]: 0 / 0
[52, 54]; [0.95, 1]: 0 / 0

[54, 56]; [-1, -0.95]: 0 / 0
[54, 56]; [-0.95, -0.9]: 0 / 0
[54, 56]; [-0.9, -0.85]: 0 / 0
[54, 56]; [-0.85, -0.8]: 160 / 692
[54, 56]; [-0.8, -0.75]: 1561 / 6871
[54, 56]; [-0.75, -0.7]: 1747 / 8095
[54, 56]; [-0.7, -0.65]: 1756 / 7917
[54, 56]; [-0.65, -0.6]: 1568 / 7672
[54, 56]; [-0.6, -0.55]: 1662 / 7441
[54, 56]; [-0.55, -0.5]: 1560 / 7528
[54, 56]; [-0.5, -0.45]: 1580 / 7576
[54, 56]; [-0.45, -0.4]: 1525 / 7224
[54, 56]; [-0.4, -0.35]: 1499 / 7283
[54, 56]; [-0.35, -0.3]: 1451 / 7203
[54, 56]; [-0.3, -0.25]: 1468 / 7021
[54, 56]; [-0.25, -0.2]: 1345 / 7122
[54, 56]; [-0.2, -0.15]: 1412 / 7054
[54, 56]; [-0.15, -0.1]: 1416 / 6968
[54, 56]; [-0.1, -0.05]: 1374 / 6935
[54, 56]; [-0.05, 0]: 1354 / 6916
[54, 56]; [0, 0.05]: 1378 / 6875
[54, 56]; [0.05, 0.1]: 1383 / 6959
[54, 56]; [0.1, 0.15]: 1470 / 6880
[54, 56]; [0.15, 0.2]: 1374 / 6858
[54, 56]; [0.2, 0.25]: 1496 / 7067
[54, 56]; [0.25, 0.3]: 1452 / 7102
[54, 56]; [0.3, 0.35]: 1486 / 7089
[54, 56]; [0.35, 0.4]: 1533 / 7144
[54, 56]; [0.4, 0.45]: 1508 / 7299
[54, 56]; [0.45, 0.5]: 1613 / 7472
[54, 56]; [0.5, 0.55]: 1560 / 7609
[54, 56]; [0.55, 0.6]: 1664 / 7854
[54, 56]; [0.6, 0.65]: 1622 / 7668
[54, 56]; [0.65, 0.7]: 1742 / 7856
[54, 56]; [0.7, 0.75]: 1785 / 8185
[54, 56]; [0.75, 0.8]: 1524 / 7004
[54, 56]; [0.8, 0.85]: 164 / 711
[54, 56]; [0.85, 0.9]: 0 / 0
[54, 56]; [0.9, 0.95]: 0 / 0
[54, 56]; [0.95, 1]: 0 / 0

[56, 58]; [-1, -0.95]: 0 / 0
[56, 58]; [-0.95, -0.9]: 0 / 0
[56, 58]; [-0.9, -0.85]: 0 / 0
[56, 58]; [-0.85, -0.8]: 234 / 1138
[56, 58]; [-0.8, -0.75]: 1388 / 6187
[56, 58]; [-0.75, -0.7]: 1460 / 6553
[56, 58]; [-0.7, -0.65]: 1375 / 6385
[56, 58]; [-0.65, -0.6]: 1331 / 6406
[56, 58]; [-0.6, -0.55]: 1341 / 6357
[56, 58]; [-0.55, -0.5]: 1295 / 6163
[56, 58]; [-0.5, -0.45]: 1317 / 6069
[56, 58]; [-0.45, -0.4]: 1222 / 6134
[56, 58]; [-0.4, -0.35]: 1249 / 6027
[56, 58]; [-0.35, -0.3]: 1094 / 5905
[56, 58]; [-0.3, -0.25]: 1225 / 5854
[56, 58]; [-0.25, -0.2]: 1173 / 5718
[56, 58]; [-0.2, -0.15]: 1126 / 5741
[56, 58]; [-0.15, -0.1]: 1077 / 5781
[56, 58]; [-0.1, -0.05]: 1151 / 5786
[56, 58]; [-0.05, 0]: 1140 / 5673
[56, 58]; [0, 0.05]: 1098 / 5752
[56, 58]; [0.05, 0.1]: 1173 / 5811
[56, 58]; [0.1, 0.15]: 1073 / 5815
