[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[66, 68]; [-1, -0.95]: 0 / 0
[66, 68]; [-0.95, -0.9]: 0 / 0
[66, 68]; [-0.9, -0.85]: 3 / 22
[66, 68]; [-0.85, -0.8]: 422 / 5693
[66, 68]; [-0.8, -0.75]: 584 / 8467
[66, 68]; [-0.75, -0.7]: 550 / 7992
[66, 68]; [-0.7, -0.65]: 554 / 8039
[66, 68]; [-0.65, -0.6]: 514 / 8055
[66, 68]; [-0.6, -0.55]: 521 / 7821
[66, 68]; [-0.55, -0.5]: 510 / 7668
[66, 68]; [-0.5, -0.45]: 506 / 7483
[66, 68]; [-0.45, -0.4]: 509 / 7270
[66, 68]; [-0.4, -0.35]: 457 / 7139
[66, 68]; [-0.35, -0.3]: 441 / 7012
[66, 68]; [-0.3, -0.25]: 458 / 6972
[66, 68]; [-0.25, -0.2]: 450 / 6671
[66, 68]; [-0.2, -0.15]: 411 / 6672
[66, 68]; [-0.15, -0.1]: 439 / 6848
[66, 68]; [-0.1, -0.05]: 450 / 6756
[66, 68]; [-0.05, 0]: 413 / 6746
[66, 68]; [0, 0.05]: 437 / 6746
[66, 68]; [0.05, 0.1]: 407 / 6698
[66, 68]; [0.1, 0.15]: 463 / 6663
[66, 68]; [0.15, 0.2]: 435 / 6628
[66, 68]; [0.2, 0.25]: 432 / 6739
[66, 68]; [0.25, 0.3]: 462 / 6812
[66, 68]; [0.3, 0.35]: 440 / 6938
[66, 68]; [0.35, 0.4]: 486 / 7124
[66, 68]; [0.4, 0.45]: 482 / 7364
[66, 68]; [0.45, 0.5]: 459 / 7491
[66, 68]; [0.5, 0.55]: 489 / 7810
[66, 68]; [0.55, 0.6]: 557 / 7792
[66, 68]; [0.6, 0.65]: 503 / 7896
[66, 68]; [0.65, 0.7]: 606 / 7964
[66, 68]; [0.7, 0.75]: 583 / 8299
[66, 68]; [0.75, 0.8]: 566 / 8541
[66, 68]; [0.8, 0.85]: 422 / 5909
[66, 68]; [0.85, 0.9]: 0 / 22
[66, 68]; [0.9, 0.95]: 0 / 0
[66, 68]; [0.95, 1]: 0 / 0

[68, 70]; [-1, -0.95]: 0 / 0
[68, 70]; [-0.95, -0.9]: 0 / 0
[68, 70]; [-0.9, -0.85]: 4 / 85
[68, 70]; [-0.85, -0.8]: 384 / 5840
[68, 70]; [-0.8, -0.75]: 502 / 7513
[68, 70]; [-0.75, -0.7]: 500 / 7173
[68, 70]; [-0.7, -0.65]: 443 / 7075
[68, 70]; [-0.65, -0.6]: 431 / 6896
[68, 70]; [-0.6, -0.55]: 452 / 6922
[68, 70]; [-0.55, -0.5]: 436 / 6839
[68, 70]; [-0.5, -0.45]: 422 / 6603
[68, 70]; [-0.45, -0.4]: 392 / 6435
[68, 70]; [-0.4, -0.35]: 420 / 6202
[68, 70]; [-0.35, -0.3]: 352 / 5979
[68, 70]; [-0.3, -0.25]: 402 / 5800
[68, 70]; [-0.25, -0.2]: 356 / 5776
[68, 70]; [-0.2, -0.15]: 343 / 5802
[68, 70]; [-0.15, -0.1]: 359 / 5928
[68, 70]; [-0.1, -0.05]: 324 / 6037
[68, 70]; [-0.05, 0]: 328 / 5833
[68, 70]; [0, 0.05]: 335 / 5902
[68, 70]; [0.05, 0.1]: 359 / 5850
[68, 70]; [0.1, 0.15]: 381 / 5835
[68, 70]; [0.15, 0.2]: 360 / 5930
[68, 70]; [0.2, 0.25]: 390 / 5915
[68, 70]; [0.25, 0.3]: 371 / 5939
[68, 70]; [0.3, 0.35]: 396 / 6038
[68, 70]; [0.35, 0.4]: 397 / 6089
[68, 70]; [0.4, 0.45]: 418 / 6244
[68, 70]; [0.45, 0.5]: 428 / 6799
[68, 70]; [0.5, 0.55]: 479 / 6672
[68, 70]; [0.55, 0.6]: 496 / 6989
[68, 70]; [0.6, 0.65]: 423 / 6957
[68, 70]; [0.65, 0.7]: 451 / 7068
[68, 70]; [0.7, 0.75]: 476 / 7270
[68, 70]; [0.75, 0.8]: 518 / 7683
[68, 70]; [0.8, 0.85]: 418 / 5913
[68, 70]; [0.85, 0.9]: 11 / 94
[68, 70]; [0.9, 0.95]: 0 / 0
[68, 70]; [0.95, 1]: 0 / 0

[70, 72]; [-1, -0.95]: 0 / 0
[70, 72]; [-0.95, -0.9]: 0 / 0
[70, 72]; [-0.9, -0.85]: 13 / 173
[70, 72]; [-0.85, -0.8]: 383 / 5457
[70, 72]; [-0.8, -0.75]: 416 / 6722
[70, 72]; [-0.75, -0.7]: 385 / 6241
[70, 72]; [-0.7, -0.65]: 397 / 6102
[70, 72]; [-0.65, -0.6]: 413 / 5837
[70, 72]; [-0.6, -0.55]: 404 / 5959
[70, 72]; [-0.55, -0.5]: 342 / 5751
[70, 72]; [-0.5, -0.45]: 373 / 5629
[70, 72]; [-0.45, -0.4]: 341 / 5526
[70, 72]; [-0.4, -0.35]: 317 / 5341
[70, 72]; [-0.35, -0.3]: 288 / 5164
[70, 72]; [-0.3, -0.25]: 336 / 5037
[70, 72]; [-0.25, -0.2]: 303 / 5128
[70, 72]; [-0.2, -0.15]: 300 / 5030
[70, 72]; [-0.15, -0.1]: 290 / 5043
[70, 72]; [-0.1, -0.05]: 279 / 5169
[70, 72]; [-0.05, 0]: 308 / 5143
[70, 72]; [0, 0.05]: 276 / 5143
[70, 72]; [0.05, 0.1]: 306 / 5221
[70, 72]; [0.1, 0.15]: 306 / 5123
[70, 72]; [0.15, 0.2]: 298 / 5103
[70, 72]; [0.2, 0.25]: 314 / 5155
[70, 72]; [0.25, 0.3]: 328 / 5086
[70, 72]; [0.3, 0.35]: 345 / 5348
[70, 72]; [0.35, 0.4]: 335 / 5380
[70, 72]; [0.4, 0.45]: 365 / 5520
[70, 72]; [0.45, 0.5]: 354 / 5745
[70, 72]; [0.5, 0.55]: 346 / 5887
[70, 72]; [0.55, 0.6]: 370 / 6016
[70, 72]; [0.6, 0.65]: 391 / 6090
[70, 72]; [0.65, 0.7]: 425 / 6256
[70, 72]; [0.7, 0.75]: 369 / 6434
[70, 72]; [0.75, 0.8]: 429 / 6655
[70, 72]; [0.8, 0.85]: 410 / 5782
[70, 72]; [0.85, 0.9]: 16 / 196
[70, 72]; [0.9, 0.95]: 0 / 0
[70, 72]; [0.95, 1]: 0 / 0

[72, 74]; [-1, -0.95]: 0 / 0
