25	26	0.55
26	27	0.55
27	28	0.55
28	29	0.55
29	30	0.6
30	31	0.6
31	32	0.6
32	33	0.6
33	34	0.65
34	35	0.65
35	36	0.65
36	37	0.65
37	38	0.65
38	39	0.7
39	40	0.7
40	42	0.7
42	44	0.7
44	46	0.7
46	48	0.75
48	50	0.75
50	52	0.75
52	54	0.75
54	56	0.75
56	58	0.75
58	60	0.75
60	62	0.8
62	64	0.8
64	66	0.8
66	68	0.8
68	70	0.8
70	72	0.8
72	74	0.8
74	76	0.8
76	78	0.8
78	80	0.8
80	82	0.85
82	84	0.85
84	86	0.85
86	88	0.85
88	90	0.85
90	92	0.85
92	94	0.85
94	96	0.85
96	98	0.85
98	100	0.85
100	105	0.85
105	110	0.85
110	115	0.85
115	120	0.85
