[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[12, 13]; [-0.9, -0.85]: 0 / 0
[12, 13]; [-0.85, -0.8]: 0 / 0
[12, 13]; [-0.8, -0.75]: 0 / 0
[12, 13]; [-0.75, -0.7]: 0 / 0
[12, 13]; [-0.7, -0.65]: 0 / 0
[12, 13]; [-0.65, -0.6]: 0 / 0
[12, 13]; [-0.6, -0.55]: 0 / 0
[12, 13]; [-0.55, -0.5]: 0 / 0
[12, 13]; [-0.5, -0.45]: 0 / 0
[12, 13]; [-0.45, -0.4]: 0 / 0
[12, 13]; [-0.4, -0.35]: 0 / 0
[12, 13]; [-0.35, -0.3]: 147 / 18
[12, 13]; [-0.3, -0.25]: 6033 / 777
[12, 13]; [-0.25, -0.2]: 23922 / 3095
[12, 13]; [-0.2, -0.15]: 50597 / 6737
[12, 13]; [-0.15, -0.1]: 88560 / 11683
[12, 13]; [-0.1, -0.05]: 116780 / 15654
[12, 13]; [-0.05, 0]: 128610 / 17160
[12, 13]; [0, 0.05]: 128875 / 17328
[12, 13]; [0.05, 0.1]: 116902 / 15736
[12, 13]; [0.1, 0.15]: 87646 / 11794
[12, 13]; [0.15, 0.2]: 50737 / 6643
[12, 13]; [0.2, 0.25]: 23940 / 3240
[12, 13]; [0.25, 0.3]: 6204 / 831
[12, 13]; [0.3, 0.35]: 168 / 16
[12, 13]; [0.35, 0.4]: 0 / 0
[12, 13]; [0.4, 0.45]: 0 / 0
[12, 13]; [0.45, 0.5]: 0 / 0
[12, 13]; [0.5, 0.55]: 0 / 0
[12, 13]; [0.55, 0.6]: 0 / 0
[12, 13]; [0.6, 0.65]: 0 / 0
[12, 13]; [0.65, 0.7]: 0 / 0
[12, 13]; [0.7, 0.75]: 0 / 0
[12, 13]; [0.75, 0.8]: 0 / 0
[12, 13]; [0.8, 0.85]: 0 / 0
[12, 13]; [0.85, 0.9]: 0 / 0

[13, 14]; [-0.9, -0.85]: 0 / 0
[13, 14]; [-0.85, -0.8]: 0 / 0
[13, 14]; [-0.8, -0.75]: 0 / 0
[13, 14]; [-0.75, -0.7]: 0 / 0
[13, 14]; [-0.7, -0.65]: 0 / 0
[13, 14]; [-0.65, -0.6]: 0 / 0
[13, 14]; [-0.6, -0.55]: 0 / 0
[13, 14]; [-0.55, -0.5]: 0 / 0
[13, 14]; [-0.5, -0.45]: 0 / 0
[13, 14]; [-0.45, -0.4]: 0 / 0
[13, 14]; [-0.4, -0.35]: 82 / 12
[13, 14]; [-0.35, -0.3]: 4832 / 587
[13, 14]; [-0.3, -0.25]: 19911 / 2481
[13, 14]; [-0.25, -0.2]: 43648 / 5221
[13, 14]; [-0.2, -0.15]: 75053 / 9041
[13, 14]; [-0.15, -0.1]: 99003 / 11984
[13, 14]; [-0.1, -0.05]: 115966 / 14104
[13, 14]; [-0.05, 0]: 126320 / 15610
[13, 14]; [0, 0.05]: 125941 / 15633
[13, 14]; [0.05, 0.1]: 116403 / 14085
[13, 14]; [0.1, 0.15]: 98783 / 12033
[13, 14]; [0.15, 0.2]: 75103 / 9141
[13, 14]; [0.2, 0.25]: 43120 / 5260
[13, 14]; [0.25, 0.3]: 20068 / 2439
[13, 14]; [0.3, 0.35]: 4833 / 620
[13, 14]; [0.35, 0.4]: 79 / 11
[13, 14]; [0.4, 0.45]: 0 / 0
[13, 14]; [0.45, 0.5]: 0 / 0
[13, 14]; [0.5, 0.55]: 0 / 0
[13, 14]; [0.55, 0.6]: 0 / 0
[13, 14]; [0.6, 0.65]: 0 / 0
[13, 14]; [0.65, 0.7]: 0 / 0
[13, 14]; [0.7, 0.75]: 0 / 0
[13, 14]; [0.75, 0.8]: 0 / 0
[13, 14]; [0.8, 0.85]: 0 / 0
[13, 14]; [0.85, 0.9]: 0 / 0

[14, 15]; [-0.9, -0.85]: 0 / 0
[14, 15]; [-0.85, -0.8]: 0 / 0
[14, 15]; [-0.8, -0.75]: 0 / 0
[14, 15]; [-0.75, -0.7]: 0 / 0
[14, 15]; [-0.7, -0.65]: 0 / 0
[14, 15]; [-0.65, -0.6]: 0 / 0
[14, 15]; [-0.6, -0.55]: 0 / 0
[14, 15]; [-0.55, -0.5]: 0 / 0
[14, 15]; [-0.5, -0.45]: 0 / 0
[14, 15]; [-0.45, -0.4]: 4 / 1
[14, 15]; [-0.4, -0.35]: 2710 / 279
[14, 15]; [-0.35, -0.3]: 14531 / 1663
[14, 15]; [-0.3, -0.25]: 33764 / 3711
[14, 15]; [-0.25, -0.2]: 59742 / 6595
[14, 15]; [-0.2, -0.15]: 78788 / 9005
[14, 15]; [-0.15, -0.1]: 90731 / 10168
[14, 15]; [-0.1, -0.05]: 98961 / 10992
[14, 15]; [-0.05, 0]: 102708 / 11592
[14, 15]; [0, 0.05]: 101717 / 11624
[14, 15]; [0.05, 0.1]: 98792 / 11190
[14, 15]; [0.1, 0.15]: 90449 / 10048
[14, 15]; [0.15, 0.2]: 78276 / 8738
[14, 15]; [0.2, 0.25]: 59554 / 6746
[14, 15]; [0.25, 0.3]: 33668 / 3715
[14, 15]; [0.3, 0.35]: 14474 / 1632
